2024-11-04 10:09:07.861 [info] Starting Python Locator /home/felipersas/.vscode/extensions/ms-python.python-2024.18.0-linux-x64/python-env-tools/bin/pet server
2024-11-04 10:09:08.569 [info] Discovered env: /usr/bin/python
2024-11-04 10:09:08.569 [info] Discovered env: /bin/python
2024-11-04 10:09:08.570 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.570 [info] Discovered env: /usr/sbin/python
2024-11-04 10:09:08.582 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.586 [info] Discovered env: /sbin/python
2024-11-04 10:09:08.587 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.587 [info] Discovered env: /usr/sbin/python3
2024-11-04 10:09:08.587 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.590 [info] Discovered env: /sbin/python3
2024-11-04 10:09:08.593 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.593 [info] Discovered env: /usr/sbin/python3.12
2024-11-04 10:09:08.594 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-04 10:09:08.594 [info] Discovered env: /sbin/python3.12
2024-11-04 10:09:08.595 [info] Locator Conda took 165.41365ms
2024-11-04 10:09:08.595 [info] Locator Homebrew took 308.675µs
2024-11-04 10:09:08.596 [info] Locator LinuxGlobal took 200.357419ms
2024-11-04 10:09:08.596 [info] Locator PipEnv took 58.656µs
2024-11-04 10:09:08.598 [info] Locator Poetry took 2.104505ms
2024-11-04 10:09:08.598 [info] Locator PyEnv took 2.61652ms
2024-11-04 10:09:08.598 [info] Locator Venv took 166.354µs
2024-11-04 10:09:08.598 [info] Locator VirtualEnv took 884.766µs
2024-11-04 10:09:08.599 [info] Locator VirtualEnvWrapper took 144.917µs
2024-11-04 10:09:08.599 [info] Locator GlobalVirtualEnvs took 765.585µs
2024-11-04 10:09:08.606 [info] Locator Locators took 203.107624ms
2024-11-04 10:09:08.606 [info] Locator Path took 436.948407ms
2024-11-04 10:09:08.606 [info] Locator Workspaces took 6.864453ms
2024-11-04 10:09:08.607 [info] Refresh completed in 437ms
