2024-11-06 16:14:59.348 [info] Starting Python Locator /home/felipersas/.vscode/extensions/ms-python.python-2024.18.0-linux-x64/python-env-tools/bin/pet server
2024-11-06 16:15:02.120 [info] Discovered env: /bin/python
2024-11-06 16:15:02.121 [info] Discovered env: /usr/bin/python
2024-11-06 16:15:02.121 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.121 [info] Discovered env: /sbin/python
2024-11-06 16:15:02.123 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.123 [info] Discovered env: /usr/sbin/python
2024-11-06 16:15:02.123 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.124 [info] Discovered env: /sbin/python3
2024-11-06 16:15:02.124 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.124 [info] Discovered env: /usr/sbin/python3
2024-11-06 16:15:02.124 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.125 [info] Discovered env: /sbin/python3.12
2024-11-06 16:15:02.125 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-06 16:15:02.125 [info] Discovered env: /usr/sbin/python3.12
2024-11-06 16:15:02.126 [info] Locator Conda took 285.677705ms
2024-11-06 16:15:02.127 [info] Locator Homebrew took 3.320449ms
2024-11-06 16:15:02.127 [info] Locator LinuxGlobal took 155.312778ms
2024-11-06 16:15:02.127 [info] Locator PipEnv took 43.638µs
2024-11-06 16:15:02.127 [info] Locator Poetry took 737.519µs
2024-11-06 16:15:02.127 [info] Locator PyEnv took 6.456187ms
2024-11-06 16:15:02.127 [info] Locator Venv took 42.203µs
2024-11-06 16:15:02.127 [info] Locator VirtualEnv took 179.891µs
2024-11-06 16:15:02.127 [info] Locator VirtualEnvWrapper took 53.194µs
2024-11-06 16:15:02.127 [info] Locator GlobalVirtualEnvs took 928.725µs
2024-11-06 16:15:02.128 [info] Locator Locators took 289.009898ms
2024-11-06 16:15:02.128 [info] Locator Path took 392.391608ms
2024-11-06 16:15:02.128 [info] Locator Workspaces took 23.448355ms
2024-11-06 16:15:02.129 [info] Refresh completed in 392ms
